date,session_key,driver_number,meeting_key,gap_to_leader,interval
2025-12-07T13:26:22.221000+00:00,9839,18,1276,23.763,0.572
2025-12-07T13:26:22.387000+00:00,9839,44,1276,32.802,1.038
2025-12-07T13:26:22.389000+00:00,9839,22,1276,20.191,1.324
2025-12-07T13:26:22.490000+00:00,9839,6,1276,39.658,2.593
2025-12-07T13:26:22.695000+00:00,9839,14,1276,11.581,4.38
2025-12-07T13:26:23.064000+00:00,9839,12,1276,24.588,0.825
2025-12-07T13:26:23.213000+00:00,9839,4,1276,5.052,3.314
2025-12-07T13:26:23.351000+00:00,9839,87,1276,43.444,3.595
2025-12-07T13:26:23.429000+00:00,9839,23,1276,37.101,2.907
2025-12-07T13:26:23.802000+00:00,9839,27,1276,34.288,1.486
2025-12-07T13:26:23.972000+00:00,9839,10,1276,51.15,7.672
2025-12-07T13:26:24.094000+00:00,9839,63,1276,31.708,
2025-12-07T13:26:24.113000+00:00,9839,30,1276,21.935,1.744
2025-12-07T13:26:24.171000+00:00,9839,81,1276,1.702,1.702
2025-12-07T13:26:25.030000+00:00,9839,63,1276,31.686,7.206
2025-12-07T13:26:25.213000+00:00,9839,44,1276,32.862,
2025-12-07T13:26:25.359000+00:00,9839,14,1276,11.584,4.408
2025-12-07T13:26:25.363000+00:00,9839,16,1276,7.132,2.08
2025-12-07T13:26:25.520000+00:00,9839,55,1276,23.373,1.438
2025-12-07T13:26:25.564000+00:00,9839,31,1276,18.907,7.236
2025-12-07T13:26:25.895000+00:00,9839,6,1276,39.58,2.479
2025-12-07T13:26:26.076000+00:00,9839,18,1276,23.907,0.534
2025-12-07T13:26:26.183000+00:00,9839,87,1276,43.345,3.687
2025-12-07T13:26:26.213000+00:00,9839,44,1276,32.87,1.184
2025-12-07T13:26:26.790000+00:00,9839,27,1276,34.298,
2025-12-07T13:26:26.790000+00:00,9839,23,1276,37.268,2.98
2025-12-07T13:26:26.872000+00:00,9839,22,1276,20.209,1.302
2025-12-07T13:26:26.922000+00:00,9839,12,1276,24.769,0.862
2025-12-07T13:26:27.326000+00:00,9839,63,1276,31.67,
2025-12-07T13:26:27.594000+00:00,9839,4,1276,5.134,3.432
2025-12-07T13:26:27.648000+00:00,9839,27,1276,34.297,1.126
2025-12-07T13:26:28.546000+00:00,9839,44,1276,32.873,1.203
2025-12-07T13:26:28.587000+00:00,9839,30,1276,21.925,1.716
2025-12-07T13:26:29.138000+00:00,9839,6,1276,39.603,2.335
2025-12-07T13:26:29.203000+00:00,9839,81,1276,1.664,1.664
2025-12-07T13:26:29.616000+00:00,9839,23,1276,37.26,2.962
2025-12-07T13:26:29.641000+00:00,9839,87,1276,43.327,3.747
2025-12-07T13:26:29.744000+00:00,9839,14,1276,11.57,4.438
2025-12-07T13:26:29.767000+00:00,9839,16,1276,7.302,2.168
2025-12-07T13:26:29.964000+00:00,9839,31,1276,18.848,7.267
2025-12-07T13:26:29.973000+00:00,9839,27,1276,34.293,
2025-12-07T13:26:30.089000+00:00,9839,55,1276,23.423,1.498
2025-12-07T13:26:30.105000+00:00,9839,63,1276,31.64,
2025-12-07T13:26:30.613000+00:00,9839,23,1276,37.256,2.959
2025-12-07T13:26:30.613000+00:00,9839,18,1276,23.93,0.507
2025-12-07T13:26:30.937000+00:00,9839,10,1276,51.036,7.592
2025-12-07T13:26:31.246000+00:00,9839,22,1276,20.14,1.292
2025-12-07T13:26:31.414000+00:00,9839,44,1276,32.902,1.262
2025-12-07T13:26:31.527000+00:00,9839,12,1276,24.851,0.921
2025-12-07T13:26:31.944000+00:00,9839,6,1276,39.592,2.332
2025-12-07T13:26:32.634000+00:00,9839,81,1276,1.651,1.651
2025-12-07T13:26:32.678000+00:00,9839,31,1276,18.9,7.316
2025-12-07T13:26:32.713000+00:00,9839,4,1276,5.136,3.472
2025-12-07T13:26:32.751000+00:00,9839,27,1276,34.275,1.373
2025-12-07T13:26:33.080000+00:00,9839,6,1276,39.59,2.334
2025-12-07T13:26:33.085000+00:00,9839,23,1276,37.248,
2025-12-07T13:26:33.085000+00:00,9839,87,1276,43.44,3.837
2025-12-07T13:26:33.085000+00:00,9839,30,1276,21.882,1.742
2025-12-07T13:26:33.763000+00:00,9839,10,1276,50.936,7.591
2025-12-07T13:26:33.965000+00:00,9839,22,1276,20.214,1.314
2025-12-07T13:26:33.994000+00:00,9839,63,1276,31.593,
2025-12-07T13:26:34.118000+00:00,9839,14,1276,11.66,4.358
2025-12-07T13:26:34.452000+00:00,9839,55,1276,23.339,1.457
2025-12-07T13:26:34.880000+00:00,9839,16,1276,7.323,2.187
2025-12-07T13:26:34.968000+00:00,9839,18,1276,23.858,0.519
2025-12-07T13:26:35.065000+00:00,9839,44,1276,32.894,1.301
2025-12-07T13:26:35.301000+00:00,9839,6,1276,39.6,2.352
2025-12-07T13:26:35.710000+00:00,9839,23,1276,37.243,2.968
2025-12-07T13:26:35.745000+00:00,9839,30,1276,21.992,1.778
2025-12-07T13:26:35.745000+00:00,9839,87,1276,43.39,3.798
2025-12-07T13:26:35.877000+00:00,9839,12,1276,24.78,0.922
2025-12-07T13:26:36.082000+00:00,9839,4,1276,5.151,3.5
2025-12-07T13:26:36.481000+00:00,9839,27,1276,34.327,1.433
2025-12-07T13:26:36.725000+00:00,9839,87,1276,43.378,3.788
2025-12-07T13:26:37.102000+00:00,9839,55,1276,23.357,1.365
2025-12-07T13:26:37.183000+00:00,9839,31,1276,18.946,7.376
2025-12-07T13:26:37.227000+00:00,9839,10,1276,50.91,7.583
2025-12-07T13:26:37.630000+00:00,9839,18,1276,23.876,
2025-12-07T13:26:38.133000+00:00,9839,6,1276,39.668,2.425
2025-12-07T13:26:38.212000+00:00,9839,16,1276,7.301,2.15
2025-12-07T13:26:38.224000+00:00,9839,63,1276,31.542,6.691
2025-12-07T13:26:38.439000+00:00,9839,22,1276,20.192,1.246
2025-12-07T13:26:38.615000+00:00,9839,12,1276,24.862,0.986
2025-12-07T13:26:39.045000+00:00,9839,87,1276,43.368,
2025-12-07T13:26:39.272000+00:00,9839,14,1276,11.689,4.366
2025-12-07T13:26:39.389000+00:00,9839,23,1276,37.229,2.902
2025-12-07T13:26:39.544000+00:00,9839,44,1276,32.859,1.317
2025-12-07T13:26:40.282000+00:00,9839,30,1276,22.041,1.849
2025-12-07T13:26:40.512000+00:00,9839,10,1276,50.97,7.53
2025-12-07T13:26:41.048000+00:00,9839,27,1276,34.385,1.526
2025-12-07T13:26:41.235000+00:00,9839,81,1276,1.696,1.696
2025-12-07T13:26:41.546000+00:00,9839,31,1276,19.096,7.436
2025-12-07T13:26:41.593000+00:00,9839,55,1276,23.416,1.375
2025-12-07T13:26:41.757000+00:00,9839,6,1276,39.603,2.374
2025-12-07T13:26:41.848000+00:00,9839,87,1276,43.38,3.712
2025-12-07T13:26:42.199000+00:00,9839,18,1276,24.057,0.641
2025-12-07T13:26:42.580000+00:00,9839,63,1276,31.481,6.701
2025-12-07T13:26:42.637000+00:00,9839,14,1276,11.709,4.408
2025-12-07T13:26:42.744000+00:00,9839,5,1276,36.08,1.695
2025-12-07T13:26:42.764000+00:00,9839,22,1276,20.316,1.22
2025-12-07T13:26:43.114000+00:00,9839,81,1276,1.719,1.719
2025-12-07T13:26:43.213000+00:00,9839,12,1276,24.983,0.926
2025-12-07T13:26:43.377000+00:00,9839,10,1276,51.018,
2025-12-07T13:26:43.913000+00:00,9839,23,1276,37.239,1.159
2025-12-07T13:26:44.003000+00:00,9839,44,1276,32.887,1.406
2025-12-07T13:26:44.394000+00:00,9839,10,1276,51.037,7.659
2025-12-07T13:26:44.680000+00:00,9839,4,1276,5.132,3.436
2025-12-07T13:26:44.682000+00:00,9839,30,1276,22.236,1.92
2025-12-07T13:26:45.200000+00:00,9839,63,1276,31.447,6.585
2025-12-07T13:26:45.450000+00:00,9839,27,1276,34.348,1.461
2025-12-07T13:26:45.505000+00:00,9839,87,1276,43.334,3.731
2025-12-07T13:26:45.884000+00:00,9839,55,1276,23.424,1.188
2025-12-07T13:26:46.231000+00:00,9839,6,1276,39.542,2.303
2025-12-07T13:26:46.578000+00:00,9839,18,1276,24.117,0.693
2025-12-07T13:26:46.594000+00:00,9839,4,1276,5.153,3.434
2025-12-07T13:26:46.633000+00:00,9839,44,1276,32.877,1.43
2025-12-07T13:26:46.675000+00:00,9839,31,1276,19.116,7.427
2025-12-07T13:26:46.795000+00:00,9839,10,1276,51.06,
2025-12-07T13:26:46.844000+00:00,9839,16,1276,7.315,2.183
2025-12-07T13:26:47.194000+00:00,9839,5,1276,36.104,1.756
2025-12-07T13:26:47.544000+00:00,9839,12,1276,25.092,0.975
2025-12-07T13:26:47.877000+00:00,9839,22,1276,20.319,1.203
2025-12-07T13:26:48.122000+00:00,9839,27,1276,34.353,1.476
2025-12-07T13:26:48.296000+00:00,9839,23,1276,37.195,1.091
2025-12-07T13:26:48.700000+00:00,9839,81,1276,1.711,1.711
2025-12-07T13:26:48.766000+00:00,9839,16,1276,7.362,2.209
2025-12-07T13:26:49.417000+00:00,9839,63,1276,31.268,6.285
2025-12-07T13:26:49.598000+00:00,9839,10,1276,51.121,
2025-12-07T13:26:49.844000+00:00,9839,30,1276,22.27,1.951
2025-12-07T13:26:49.964000+00:00,9839,5,1276,36.196,1.843
2025-12-07T13:26:50.029000+00:00,9839,31,1276,19.11,7.401
2025-12-07T13:26:50.145000+00:00,9839,87,1276,43.481,3.939
2025-12-07T13:26:50.560000+00:00,9839,6,1276,39.444,2.249
2025-12-07T13:26:50.964000+00:00,9839,55,1276,23.394,1.124
2025-12-07T13:26:50.978000+00:00,9839,23,1276,37.216,1.02
2025-12-07T13:26:50.982000+00:00,9839,44,1276,32.802,1.534
2025-12-07T13:26:51.193000+00:00,9839,22,1276,20.28,1.17
2025-12-07T13:26:51.323000+00:00,9839,14,1276,11.792,4.477
2025-12-07T13:26:51.431000+00:00,9839,81,1276,1.713,1.713
