meeting_key,session_key,overtaking_driver_number,overtaken_driver_number,date,position
1141,7953,23,2,2023-03-05T15:24:18.712000+00:00,13
1141,7953,22,24,2023-03-05T15:24:19.977000+00:00,15
1141,7953,22,2,2023-03-05T15:24:19.977000+00:00,14
1141,7953,10,24,2023-03-05T15:24:22.602000+00:00,16
1141,7953,10,2,2023-03-05T15:24:24.212000+00:00,15
1141,7953,4,24,2023-03-05T15:24:29.634000+00:00,17
1141,7953,23,31,2023-03-05T15:24:31.868000+00:00,12
1141,7953,21,24,2023-03-05T15:24:38.680000+00:00,18
1141,7953,27,24,2023-03-05T15:24:48.868000+00:00,19
1141,7953,44,81,2023-03-05T15:24:52.180000+00:00,8
1141,7953,20,81,2023-03-05T15:25:04.305000+00:00,9
1141,7953,11,16,2023-03-05T15:25:07.102000+00:00,2
1141,7953,77,81,2023-03-05T15:25:08.602000+00:00,10
1141,7953,18,63,2023-03-05T15:25:24.867000+00:00,6
1141,7953,14,55,2023-03-05T15:25:27.632000+00:00,4
1141,7953,14,16,2023-03-05T15:25:27.632000+00:00,3
1141,7953,18,55,2023-03-05T15:25:29.367000+00:00,5
1141,7953,18,16,2023-03-05T15:25:29.367000+00:00,4
1141,7953,23,81,2023-03-05T15:25:41.773000+00:00,11
1141,7953,31,81,2023-03-05T15:25:42.304000+00:00,12
1141,7953,44,63,2023-03-05T15:25:46.445000+00:00,7
1141,7953,20,63,2023-03-05T15:25:50.554000+00:00,8
1141,7953,77,63,2023-03-05T15:25:50.695000+00:00,9
1141,7953,22,81,2023-03-05T15:25:53.210000+00:00,13
1141,7953,77,20,2023-03-05T15:25:54.148000+00:00,8
1141,7953,10,81,2023-03-05T15:25:57.101000+00:00,14
1141,7953,2,81,2023-03-05T15:25:58.210000+00:00,15
1141,7953,4,81,2023-03-05T15:26:07.554000+00:00,16
1141,7953,21,81,2023-03-05T15:26:09.100000+00:00,17
1141,7953,27,81,2023-03-05T15:26:09.944000+00:00,18
1141,7953,24,81,2023-03-05T15:26:10.038000+00:00,19
1141,7953,24,27,2023-03-05T15:26:18.413000+00:00,18
1141,7953,27,24,2023-03-05T15:26:33.006000+00:00,18
1141,7953,11,1,2023-03-05T15:26:50.787000+00:00,1
1141,7953,18,14,2023-03-05T15:27:04.678000+00:00,3
1141,7953,16,14,2023-03-05T15:27:12.162000+00:00,4
1141,7953,55,14,2023-03-05T15:27:23.302000+00:00,5
1141,7953,44,14,2023-03-05T15:27:24.708000+00:00,6
1141,7953,77,14,2023-03-05T15:27:30.708000+00:00,7
1141,7953,63,20,2023-03-05T15:27:35.896000+00:00,9
1141,7953,16,18,2023-03-05T15:28:45.691000+00:00,3
1141,7953,55,18,2023-03-05T15:29:01.285000+00:00,4
1141,7953,44,18,2023-03-05T15:29:03.254000+00:00,5
1141,7953,77,18,2023-03-05T15:29:07.894000+00:00,6
1141,7953,14,18,2023-03-05T15:29:09.472000+00:00,7
1141,7953,63,18,2023-03-05T15:29:09.941000+00:00,8
1141,7953,23,20,2023-03-05T15:29:10.269000+00:00,10
1141,7953,22,31,2023-03-05T15:29:12.363000+00:00,12
1141,7953,22,20,2023-03-05T15:29:17.160000+00:00,11
1141,7953,10,31,2023-03-05T15:29:19.785000+00:00,13
1141,7953,10,20,2023-03-05T15:29:19.785000+00:00,12
1141,7953,2,31,2023-03-05T15:29:20.269000+00:00,14
1141,7953,2,20,2023-03-05T15:29:20.269000+00:00,13
1141,7953,4,31,2023-03-05T15:29:25.675000+00:00,15
1141,7953,4,20,2023-03-05T15:29:25.675000+00:00,14
1141,7953,21,31,2023-03-05T15:29:26.784000+00:00,16
1141,7953,21,20,2023-03-05T15:29:26.784000+00:00,15
1141,7953,27,31,2023-03-05T15:29:27.925000+00:00,17
1141,7953,27,20,2023-03-05T15:29:27.925000+00:00,16
1141,7953,24,31,2023-03-05T15:29:28.691000+00:00,18
1141,7953,24,20,2023-03-05T15:29:28.691000+00:00,17
